Key,en,da
title,Pokémon Type Calculator,Pokémon Type lommeregner
navigation.offense,Offense,Angreb
navigation.defense,Defense,Beskyttelse
navigation.pokedex,Pokédex,Pokédex
navigation.more,More,Mere
offense.chooseTypes,Choose types,Vælg typer/type
offense.dealsXTo,Deals {{ x }} to,Skader {{ x }} til
offense.abilities.choose,Choose abilities,
offense.specialMoves.choose,Choose special moves,
offense.specialMoves.names.freeze-dry,Freeze-Dry,
offense.specialMoves.names.thousand_arrows,Thousand Arrows,
offense.coverage.heading,Pokédex coverage,Pokédex dækning
offense.coverage.edit,Edit list,Rediger listen
offense.coverage.weakness,Weak,Svag
offense.coverage.normal,Normal,
offense.coverage.resistance,Resist,Resistent
offense.teraPokemon,Tera Pokémon,
offense.coverageList.empty,No Pokémon found or no types selected,Ingen Pokèmon blev fundet eller ingen typer valgt
offense.coverageList.weakness.heading,Weakness coverage list,Liste der dækker over svagheder
offense.coverageList.normal.heading,Normal effectiveness coverage list,
offense.coverageList.resistance.heading,Resistance coverage list,Liste der dækker over resistens
coverage.heading,Pokédex coverage,Pokèdex dækning
coverage.paragraph1,"Import/export custom Pokédex CSV files to see coverage for different Pokémon. Create a custom CSV file with just the OU tier Pokémon, or even create your own Pokémon from scratch.",Importer/Eksporter Hjemmelavede pokédex CSV filer for at se dækningen på forskellige pokemons. Lav en hjemmelavet CSV file kun med OU Tier pokémons eller lav dine egne Pokemons.
coverage.paragraph2,"CSV data is loaded by column header name, not column order, so you can add or re-order columns if you want (e.g. add a “tier” column, or a “notes” column).","CSV data er loaded fra kolonne sidehoved navn, ikke kolonne rækkefølge, så du kan tilføje eller ændre på kolonner hvis du vil (Fx tilføje en note eller liste kolonne)."
coverage.paragraph3,"CSV files can be edited with Google Sheets, Microsoft Excel, OpenOffice, LibreOffice, Notepad, and more.","CSV filer kan blive redigeret med Google Sheets, Microsoft Excel, OpenOffice, LibreOffice, Notepad og flere produkter."
coverage.csvHeaders.number,Number,Nummer
coverage.csvHeaders.name,Name,Navn
coverage.csvHeaders.type1,Type 1,Type 1
coverage.csvHeaders.type2,Type 2,Type 2
coverage.csvHeaders.type3,Type 3,Type 3
coverage.export.button,Export,Eksporter
coverage.export.description,Export the default Pokédex to a CSV file,Eksporter standard pokédexet til en CSV fil
coverage.import.button,Import,Importer
coverage.import.description,Import an edited Pokédex CSV file,Importer en redigeret pokédex CSV fil
coverage.reset.button,Reset,Genstart
coverage.reset.description,Reset to the default Pokédex,Genstart til standard pokèdex
coverage.filename,pkmn.help type coverage.csv,pkmn.help type dækning.csv
coverage.status.imported,Imported {{ n }} Pokémon forms from “{{ file }}”,"Importeret {{ n }} Pokèmon former fra ""{{ file }}"""
coverage.status.exported,Exported default Pokémon forms,Eksporterede standard Pokémon former
