Key,en,en
title,Pokémon Type Calculator,Pokémon Type Calculator
navigation.offense,Offense,Offense
navigation.defense,Defense,Defense
navigation.pokedex,Pokédex,Pokédex
navigation.more,More,More
offense.chooseTypes,Choose types,Choose types
offense.dealsXTo,Deals {{ x }} to,Deals {{ x }} to
offense.abilities.choose,Choose abilities,Choose abilities
offense.specialMoves.choose,Choose special moves,Choose special moves
offense.specialMoves.names.freeze-dry,Freeze-Dry,Freeze-Dry
offense.specialMoves.names.thousand_arrows,Thousand Arrows,Thousand Arrows
offense.coverage.heading,Pokédex coverage,Pokédex coverage
offense.coverage.edit,Edit list,Edit list
offense.coverage.weakness,Weak,Weak
offense.coverage.normal,Normal,Normal
offense.coverage.resistance,Resist,Resist
offense.teraPokemon,Tera Pokémon,Tera Pokémon
offense.coverageList.empty,No Pokémon found or no types selected,No Pokémon found or no types selected
offense.coverageList.weakness.heading,Weakness coverage list,Weakness coverage list
offense.coverageList.normal.heading,Normal effectiveness coverage list,Normal effectiveness coverage list
offense.coverageList.resistance.heading,Resistance coverage list,Resistance coverage list
coverage.heading,Pokédex coverage,Pokédex coverage
coverage.paragraph1,"Import/export custom Pokédex CSV files to see coverage for different Pokémon. Create a custom CSV file with just the OU tier Pokémon, or even create your own Pokémon from scratch.","Import/export custom Pokédex CSV files to see coverage for different Pokémon. Create a custom CSV file with just the OU tier Pokémon, or even create your own Pokémon from scratch."
coverage.paragraph2,"CSV data is loaded by column header name, not column order, so you can add or re-order columns if you want (e.g. add a “tier” column, or a “notes” column).","CSV data is loaded by column header name, not column order, so you can add or re-order columns if you want (e.g. add a “tier” column, or a “notes” column)."
coverage.paragraph3,"CSV files can be edited with Google Sheets, Microsoft Excel, OpenOffice, LibreOffice, Notepad, and more.","CSV files can be edited with Google Sheets, Microsoft Excel, OpenOffice, LibreOffice, Notepad, and more."
coverage.csvHeaders.number,Number,Number
coverage.csvHeaders.name,Name,Name
coverage.csvHeaders.type1,Type 1,Type 1
coverage.csvHeaders.type2,Type 2,Type 2
coverage.csvHeaders.type3,Type 3,Type 3
coverage.export.button,Export,Export
