Key,en,it
title,Pokémon Type Calculator,Calcolatore dei Tipi di Pokémon
navigation.offense,Offense,Offensiva
navigation.defense,Defense,Difensiva
navigation.pokedex,Pokédex,Pokédex
navigation.more,More,Altro
offense.chooseTypes,Choose types,Scegli i tipi
offense.dealsXTo,Deals {{ x }} to,Infligge {{ x }} a
offense.abilities.choose,Choose abilities,
offense.specialMoves.choose,Choose special moves,
offense.specialMoves.names.freeze-dry,Freeze-Dry,Liofilizzazione
offense.specialMoves.names.thousand_arrows,Thousand Arrows,Mille Frecce
offense.coverage.heading,Pokédex coverage,Copertura debolezze
offense.coverage.edit,Edit list,Modifica elenco
offense.coverage.weakness,Weak,Debole
offense.coverage.normal,Normal,Normale
offense.coverage.resistance,Resist,Resistente
offense.teraPokemon,Tera Pokémon,Teracristal
offense.coverageList.empty,No Pokémon found or no types selected,Nessun Pokémon trovato o nessun tipo selezionato
offense.coverageList.weakness.heading,Weakness coverage list,Elenco della copertura debolezze
offense.coverageList.normal.heading,Normal effectiveness coverage list,Elenco della copertura efficacia normale
offense.coverageList.resistance.heading,Resistance coverage list,Elenco della copertura resistenze
coverage.heading,Pokédex coverage,Copertura debolezze
coverage.paragraph1,"Import/export custom Pokédex CSV files to see coverage for different Pokémon. Create a custom CSV file with just the OU tier Pokémon, or even create your own Pokémon from scratch.",Importa/esporta file Pokédex CSV personalizzati per vedere la copertura delle debolezze per diversi Pokémon. Crea un file CSV personalizzato solo con i Pokémon di tier OU (Estremamente usati) o crea i tuoi Pokémon da zero.
coverage.paragraph2,"CSV data is loaded by column header name, not column order, so you can add or re-order columns if you want (e.g. add a “tier” column, or a “notes” column).","I dati CSV vengono caricati dal nome dell'intestazione della colonna, non dall'ordine delle colonne, quindi puoi aggiungere o riordinare le colonne se vuoi (es: aggiungi una colonna ""livello"" o una colonna ""note"")."
coverage.paragraph3,"CSV files can be edited with Google Sheets, Microsoft Excel, OpenOffice, LibreOffice, Notepad, and more.","I file CSV possono essere modificati con Fogli Google, Microsoft Excel, OpenOffice, LibreOffice, Blocco note e altro."
coverage.csvHeaders.number,Number,Numero
coverage.csvHeaders.name,Name,Nome
coverage.csvHeaders.type1,Type 1,Tipo 1
coverage.csvHeaders.type2,Type 2,Tipo 2
coverage.csvHeaders.type3,Type 3,Tipo 3
coverage.export.button,Export,Esporta
coverage.export.description,Export the default Pokédex to a CSV file,Esporta il Pokédex predefinito in un file CSV
coverage.import.button,Import,Importa
coverage.import.description,Import an edited Pokédex CSV file,Importa un file CSV Pokédex modificato
coverage.reset.button,Reset,Ripristina
coverage.reset.description,Reset to the default Pokédex,Ripristina il Pokédex predefinito
coverage.filename,pkmn.help type coverage.csv,pkmn.help copertura tipi.csv
