Key,en,ja
title,Pokémon Type Calculator,ポケモン タイプ けいさんき
navigation.offense,Offense,オフェンス
navigation.defense,Defense,デフェンス
navigation.pokedex,Pokédex,ポケモンずかん
navigation.more,More,その他
offense.chooseTypes,Choose attack move types,複数のタイプを選択
offense.dealsXTo,{{ x }} damage,{{ x }}を与える
offense.mode.combination,Combination,
offense.mode.single,Single,
offense.matchups.summary.heading,Matchup summary,
offense.matchups.summary.damage,Damage,
offense.matchups.summary.combinations.heading,Combinations,
offense.matchups.summary.combinations.empty,No types,
offense.matchups.types.heading,Matchup types,
offense.abilities.choose,Choose abilities,特性を選択
offense.specialMoves.choose,Choose special moves,得意技を選択
offense.specialMoves.names.freeze-dry,Freeze-Dry,フリーズドライ
offense.specialMoves.names.thousand_arrows,Thousand Arrows,サウザンアロー
offense.specialMoves.names.flying_press,Flying Press,フライングプレス
offense.coverage.heading,Pokédex coverage,ポケモン図鑑内のタイプ相性
offense.coverage.edit,Edit list,リストを編集
offense.coverage.weakness,Weak,ばつぐん
offense.coverage.normal,Neutral,普通
offense.coverage.resistance,Resist,耐性
offense.teraPokemon,Tera Pokémon,テラスタルポケモン
offense.coverageList.empty,No Pokémon found or no types selected,ポケモンが見つからないか、タイプが未選択です。
offense.coverageList.weakness.heading,Weakness coverage list,弱点カバーリスト
offense.coverageList.normal.heading,Neutral effectiveness coverage list,普通カバーリスト
offense.coverageList.resistance.heading,Resistance coverage list,抵抗カバーリスト
coverage.heading,Pokédex coverage,弱点のカバー範囲
coverage.paragraph1,"Import/export custom Pokédex CSV files to see coverage for different Pokémon. Create a custom CSV file with just the OU tier Pokémon, or even create your own Pokémon from scratch.",異なるポケモンのための弱点カバー範囲を見るためにカスタムポケモンずかんのCSVファイルを読み込み/エクスポートします。
coverage.paragraph2,"CSV data is loaded by column header name, not column order, so you can add or re-order columns if you want (e.g. add a “tier” column, or a “notes” column).",CSVデータはカラムの順番ではなくカラムのヘッダーネーム順で呼ばれます。追加したり並べ替えても処理に影響はありません。（例:「ランク」カラムを足す、「注釈」カラムを足す）
coverage.paragraph3,"CSV files can be edited with Google Sheets, Microsoft Excel, OpenOffice, LibreOffice, Notepad, and more.",CSVファイルはGoogle Sheets、Microsoft Excel、OpenOffice、LibreOffice、Notepadなどで編集できます
coverage.csvHeaders.number,Number,数字
coverage.csvHeaders.name,Name,名前
coverage.csvHeaders.type1,Type 1,１つ目のタイプ
coverage.csvHeaders.type2,Type 2,２つ目のタイプ
coverage.csvHeaders.type3,Type 3,３つ目のタイプ
coverage.export.button,Export,書き出し
coverage.export.description,Export the default Pokédex to a CSV file,デフォルトのポケモンずかんをCSVに書き出す
coverage.import.button,Import,インポート
coverage.import.description,Import an edited Pokédex CSV file,編集されたポケモンずかんのCSVファイルをインポートする
coverage.reset.button,Reset,リセット
coverage.reset.description,Reset to the default Pokédex,デフォルトのポケモンずかんにリセットする
coverage.filename,pkmn.help type coverage.csv,pkmn.helpのタイプ.csv
coverage.status.imported,Imported {{ n }} Pokémon forms from “{{ file }}”,「{{ file }}」から{{ n }}のポケモンのすがたをインポートした
coverage.status.exported,Exported default Pokémon forms,デフォルトのポケモンのすがたを書き出した
coverage.status.reset,Loaded default Pokémon forms,デフォルトのポケモンのすがたを読み込んだ
coverage.status.errored,Error loading CSV. Don't change header names.,CSV読み込みエラー。ヘッダーの名前を変えないでください
coverage.back,Back to offense,こうげきに戻る
defense.chooseTypes,Choose defending Pokémon types,複数のタイプを選択
defense.takesXFrom,Takes {{ x }} from these move types,{{ x }}を受ける
defense.chooseAbility,Choose ability,特性
defense.chooseTeraType,Choose tera type,テラスタイプ
defense.abilityNames.none,None,なし
defense.abilityNames.tinted_lens,Tinted Lens,いろめがね
defense.abilityNames.scrappy,Scrappy,きもったま
defense.abilityNames.tera_shell,Tera Shell,テラスシェル
defense.abilityNames.filter,Filter,フィルター
defense.abilityNames.wonder_guard,Wonder Guard,ふしぎなまもり
defense.abilityNames.delta_stream,Delta Stream,デルタストリーム
defense.abilityNames.fluffy,Fluffy,もふもふ
defense.abilityNames.purifying_salt,Purifying Salt,きよめのしお
defense.abilityNames.heatproof,Heatproof,たいねつ
defense.abilityNames.water_bubble,Water Bubble,すいほう
defense.abilityNames.thick_fat,Thick Fat,あついしぼう
defense.abilityNames.earth_eater,Earth Eater,どしょく
defense.abilityNames.levitate,Levitate,ふゆう
defense.abilityNames.flash_fire,Flash Fire,もらいび
defense.abilityNames.well_baked_body,Well-Baked Body,こんがりボディ
defense.abilityNames.dry_skin,Dry Skin,かんそうはだ
defense.abilityNames.storm_drain,Storm Drain,よびみず
defense.abilityNames.water_absorb,Water Absorb,ちょすい
defense.abilityNames.sap_sipper,Sap Sipper,そうしょく
defense.abilityNames.lightning_rod,Lightning Rod,ひらいしん
defense.abilityNames.motor_drive,Motor Drive,でんきエンジン
defense.abilityNames.volt_absorb,Volt Absorb,ちくでん
defense.mode.solo,Solo,ソロ
defense.mode.team,Team,パーティ
defense.team.tableHeading,Matchup counts,タイプ相性表
defense.team.heading,Edit Pokémon team,手持ちポケモンを編集
defense.team.add,Add Pokémon,ポケモンを追加
defense.team.empty,No Pokémon selected,ポケモンが選択されていない
defense.team.displayType,Table format,テーブル形式
defense.team.weak,Weak,弱点相性表
defense.team.resist,Resist,耐性相性表
defense.team.simple,Simple,簡単なフォーマット
defense.team.complex,Complex,詳細なフォーマット
defense.team.type,Type,タイプ
defense.team.edit,Edit,変える
defense.team.remove,Remove,消す
pokedex.search.description,"Search by name, number, or types",名前、番号、タイプで検索できます
pokedex.search.help,Help,ヘルプ
pokedex.search.helpLong,"Help, search Pokédex",ヘルプ、Pokédexを検索
pokedex.search.notFound,No Pokémon found,ポケモンが見つかりませんでした
pokedex.offense.text,Offense,こうげき
pokedex.defense.text,Defense,ぼうぎょ
pokedex.cry.text,Cry,鳴き声
pokedex.shiny.text,Shiny,色違い
pokedex.pagination.next,Next,次
pokedex.pagination.nextLong,Next,次
pokedex.pagination.previous,Prev,前
pokedex.pagination.previousLong,Previous,前
pokedex.pagination.firstLong,First,最初
pokedex.pagination.lastLong,Last,最終
pokedex.sorting.sortBy,Sort by,
pokedex.sorting.auto,Auto,
pokedex.stats.hp,HP,HP
