Key,en,kk
title,Pokémon Type Calculator,Покемон Тип Калькуляторы
navigation.offense,Offense,Шабуыл
navigation.defense,Defense,Қорғаныс
navigation.pokedex,Pokédex,Покедекс
navigation.more,More,Тағы
offense.chooseTypes,Choose types,Типтер Таңдау
offense.dealsXTo,Deals {{ x }} to,{{ x }} келтіреді
offense.abilities.choose,Choose abilities,
offense.specialMoves.choose,Choose special moves,
offense.specialMoves.names.freeze-dry,Freeze-Dry,
offense.specialMoves.names.thousand_arrows,Thousand Arrows,
offense.coverage.heading,Pokédex coverage,
offense.coverage.edit,Edit list,
offense.coverage.weakness,Weak,
offense.coverage.normal,Normal,
offense.coverage.resistance,Resist,
offense.teraPokemon,Tera Pokémon,
offense.coverageList.empty,No Pokémon found or no types selected,
offense.coverageList.weakness.heading,Weakness coverage list,
offense.coverageList.normal.heading,Normal effectiveness coverage list,
offense.coverageList.resistance.heading,Resistance coverage list,
coverage.heading,Pokédex coverage,Әлсіздік Қамтуы
coverage.paragraph1,"Import/export custom Pokédex CSV files to see coverage for different Pokémon. Create a custom CSV file with just the OU tier Pokémon, or even create your own Pokémon from scratch.",Өзіндік Покедекстің CSV файлдарын импорттау/экспорттау арқылы әртүрлі Покемондарға әлсіздік қамтуын көре аласыз. Тек қана OU деңгейіндегі Покемон бар немесе өзіңіз ойлап тапқан Покемоны бар CSV файлды жасаңыз.
coverage.paragraph2,"CSV data is loaded by column header name, not column order, so you can add or re-order columns if you want (e.g. add a “tier” column, or a “notes” column).","CSV деректері баған ретімен емес, баған тақырыбының аты бойынша жүктеледі, сондықтан қаласаңыз, бағандарды қосуға немесе ретін өзгертуге болады (мысалы, «деңгей» бағанын немесе «ескертпелер» бағанын қоса аласыз)."
coverage.paragraph3,"CSV files can be edited with Google Sheets, Microsoft Excel, OpenOffice, LibreOffice, Notepad, and more.","CSV файлдарын Google Sheets, Microsoft Excel, OpenOffice, LibreOffice, Notepad секілді бағдарламалармен өңдей аласыз."
coverage.csvHeaders.number,Number,Нөмір
coverage.csvHeaders.name,Name,Аты
coverage.csvHeaders.type1,Type 1,Тип 1
coverage.csvHeaders.type2,Type 2,Тип 2
coverage.csvHeaders.type3,Type 3,Тип 3
coverage.export.button,Export,Экспорттау
coverage.export.description,Export the default Pokédex to a CSV file,Бастапқы Покедексті CSV файлға экспорттау.
coverage.import.button,Import,Импорттау
coverage.import.description,Import an edited Pokédex CSV file,Өңделген Покедекстің CSV файлын импорттау.
coverage.reset.button,Reset,Қалпына Келтіру
