Key,en,ko
title,Pokémon Type Calculator,포켓몬 타입 계산기
navigation.offense,Offense,공격
navigation.defense,Defense,방어
navigation.pokedex,Pokédex,포켓몬 도감
navigation.more,More,더
offense.chooseTypes,Choose types,타입 선택
offense.dealsXTo,Deals {{ x }} to,공격은 {{x}} 데미지
offense.coverage.heading,Pokédex coverage,포켓몬 도감 커버리지
offense.coverage.edit,Edit list,편집 목록
offense.coverage.weakness,Weak,약점
offense.coverage.normal,Normal,정상
offense.coverage.resistance,Resist,저항하다
offense.coverageList.empty,No Pokémon found or no types selected,포켓몬을 찾을 수 없거나 유형을 선택하지 않았습니다.
offense.coverageList.weakness.heading,Weakness Coverage List,약점 커버리지 목록
offense.coverageList.weakness.description,These Pokémon are weak to at least one of the selected types.,이 포켓몬은 선택한 유형 중 적어도 하나에 약합니다.
offense.coverageList.normal.heading,Normal Effectiveness Coverage List,정상 유효성 적용 범위 목록
offense.coverageList.normal.description,These Pokémon are not in the weakness or resistance lists for the selected types.,이 포켓몬은 선택한 유형의 약점 또는 저항 목록에 없습니다.
offense.coverageList.resistance.heading,Resistance Coverage List,저항 범위 목록
offense.coverageList.resistance.description,These Pokémon are resistant to all of the selected types.,이 포켓몬은 선택한 모든 유형에 내성이 있습니다.
coverage.heading,Pokédex Coverage,약점 목록
coverage.paragraph1,"Import/export custom Pokédex CSV files to see coverage for different Pokémon. Create a custom CSV file with just the OU tier Pokémon, or even create your own Pokémon from scratch.",사용자 정의 포켓몬 도감 CSV 파일을 가져오거나 내보내서 다른 포켓몬의 약점 범위를 확인합니다. OU 등급 포켓몬만으로 사용자 지정 CSV 파일을 만들거나 처음부터 나만의 포켓몬을 만들 수도 있습니다.
coverage.paragraph2,"CSV data is loaded by column header name, not column order, so you can add or re-order columns if you want (e.g. add a “tier” column, or a “notes” column).","CSV 데이터는 열 순서가 아닌 열 머리글 이름으로 로드되므로 원하는 경우 열을 추가하거나 재정렬할 수 있습니다(예: ""계층"" 열 또는 ""메모"" 열 추가)."
coverage.paragraph3,"CSV files can be edited with Google Sheets, Microsoft Excel, OpenOffice, LibreOffice, Notepad, and more.","CSV 파일은 Google 스프레드시트, Microsoft Excel, OpenOffice, LibreOffice, 메모장 등으로 편집할 수 있습니다."
coverage.csvHeaders.number,Number,숫자
coverage.csvHeaders.name,Name,이름
coverage.csvHeaders.type1,Type 1,첫 번째 타입
coverage.csvHeaders.type2,Type 2,두 번째 타입
coverage.csvHeaders.type3,Type 3,세 번째 타입
coverage.export.button,Export,내보내다
coverage.export.description,Export the default Pokédex to a CSV file,기본 포켓몬 도감을 CSV 파일로 내보내기
coverage.import.button,Import,수입하다
coverage.import.description,Import an edited Pokédex CSV file,편집한 포켓몬 도감 CSV 파일 가져오기
coverage.reset.button,Reset,초기화
coverage.reset.description,Reset to the default Pokédex,기본 포켓몬 도감으로 재설정
coverage.filename,pkmn.help type coverage.csv,pkmn.help type coverage.csv
coverage.status.imported,Imported {{ n }} Pokémon forms from “{{ file }}”,"""{{ file }}"" 에서 가져온 {{ n }} 포켓몬 양식"
coverage.status.exported,Exported default Pokémon forms,내보낸 기본 포켓몬 양식
coverage.status.reset,Loaded default Pokémon forms,로드된 기본 포켓몬 양식
coverage.status.errored,Error loading CSV. Don't change header names.,CSV를 로드하는 중에 오류가 발생했습니다. 헤더 이름을 변경하지 마십시오.
coverage.back,Back to offense,공격으로 돌아가기
defense.chooseFirst,Choose first type,첫 번째 유형 선택
defense.chooseSecond,Choose second type,두 번째 유형 선택
defense.chooseThird,Choose third type,세 번째 유형 선택
defense.takesXFrom,Takes {{ x }} from,{{ x }} 피해를 입다
defense.chooseAbility,Choose ability,
defense.abilityNames.none,None,
defense.abilityNames.wonder_guard,Wonder Guard,
defense.abilityNames.delta_stream,Delta Stream,
defense.abilityNames.fluffy,Fluffy,
defense.abilityNames.purifying_salt,Purifying Salt,
defense.abilityNames.heatproof,Heatproof,
defense.abilityNames.water_bubble,Water Bubble,
defense.abilityNames.thick_fat,Thick Fat,
defense.abilityNames.earth_eater,Earth Eater,
defense.abilityNames.levitate,Levitate,
defense.abilityNames.flash_fire,Flash Fire,
defense.abilityNames.well_baked_body,Well-Baked Body,
defense.abilityNames.dry_skin,Dry Skin,
defense.abilityNames.storm_drain,Storm Drain,
defense.abilityNames.water_absorb,Water Absorb,
defense.abilityNames.sap_sipper,Sap Sipper,
defense.abilityNames.lightning_rod,Lightning Rod,
defense.abilityNames.motor_drive,Motor Drive,
defense.abilityNames.volt_absorb,Volt Absorb,
defense.mode.heading,Choose mode,모드 선택
defense.mode.solo,Solo,독주
defense.mode.team,Team,팀
defense.team.tableHeading,Matchup counts,매치업 카운트
defense.team.heading,Edit Pokémon team,포켓몬 팀 편집
defense.team.add,Add Pokémon,포켓몬 추가
defense.team.empty,No Pokémon selected,선택한 포켓몬 없음
defense.team.displayType,Table format,테이블 형식
defense.team.weak,Weak,약점
defense.team.resist,Resist,저항하다
defense.team.simple,Simple,단순한
defense.team.complex,Complex,복잡한
defense.team.type,Type,유형
defense.team.save,Save,저장
defense.team.saveLong,Save {{ name }},{{ name }} 저장
defense.team.edit,Edit,편집하다
defense.team.editLong,Edit {{ name }},{{ name }} 편집
defense.team.remove,Remove,제거하다
defense.team.removeLong,Remove {{ name }},{{ name }}  제거
pokedex.search.description,"Search by name, number, or types","이름, 번호 또는 유형으로 검색"
pokedex.search.help,Help,도움
pokedex.search.helpLong,"Help, search Pokédex","도움말, 검색 포켓몬 도감"
pokedex.search.notFound,No Pokémon found,포켓몬을 찾을 수 없습니다
pokedex.offense.text,Offense,공격
pokedex.defense.text,Defense,방어
pokedex.shiny.label,Shiny for {{ pokemon }},색이 다른 {{ pokemon }}
pokedex.shiny.text,Shiny,색이 다른
pokedex.pagination.next,Next,다음
pokedex.pagination.nextLong,Next,다음
pokedex.pagination.previous,Prev,이전
pokedex.pagination.previousLong,Previous,이전
pokedex.pagination.firstLong,First,첫 번째
pokedex.pagination.lastLong,Last,마지막
pokedex.stats.hp,HP,HP
pokedex.stats.hpLong,Hit Points,히트 포인트
pokedex.stats.attack,Attack,공격
pokedex.stats.attackLong,Attack,공격
