Key,en,nl
title,Pokémon Type Calculator,Pokémon Type Rekenmachine
navigation.offense,Offense,Offensief
navigation.defense,Defense,Defensief
navigation.pokedex,Pokédex,Pokédex
navigation.more,More,Meer
offense.chooseTypes,Choose types,Kies Types
offense.dealsXTo,Deals {{ x }} to,Deelt {{ x }} schade aan
offense.abilities.choose,Choose abilities,
offense.specialMoves.choose,Choose special moves,
offense.specialMoves.names.freeze-dry,Freeze-Dry,
offense.specialMoves.names.thousand_arrows,Thousand Arrows,
offense.coverage.heading,Pokédex coverage,Pokédex overschaduwing
offense.coverage.edit,Edit list,Bewerk lijst
offense.coverage.weakness,Weak,Zwak
offense.coverage.normal,Normal,Normaal
offense.coverage.resistance,Resist,Weerstand
offense.teraPokemon,Tera Pokémon,Tera Pokémon
offense.coverageList.empty,No Pokémon found or no types selected,Geen Pokémon gevonden of geen types geselecteerd
offense.coverageList.weakness.heading,Weakness coverage list,Zwakte Overschaduwingslijst
offense.coverageList.normal.heading,Normal effectiveness coverage list,Normale Overschaduwingslijst
offense.coverageList.resistance.heading,Resistance coverage list,Weerstandige Overschaduwingslijst
coverage.heading,Pokédex coverage,Pokedexoverschaduwing
coverage.paragraph1,"Import/export custom Pokédex CSV files to see coverage for different Pokémon. Create a custom CSV file with just the OU tier Pokémon, or even create your own Pokémon from scratch.","Importeer/exporteer aangepaste Pokédex CSV-bestanden om overschaduwing te zien voor verschillende Pokémon. Maak een aangepast CSV-bestand met alleen de OU-niveau Pokémon, of maak je eigen Pokémon vanaf het begin."
coverage.paragraph2,"CSV data is loaded by column header name, not column order, so you can add or re-order columns if you want (e.g. add a “tier” column, or a “notes” column).","CSV data wordt geladen op kolomnaam, niet kolomvolgorde, je kan dus kolommen toevogen en verplaatsen als je dat wilt. (bijv. voeg een “niveau” kolom of een “notities” kolom toe)."
coverage.paragraph3,"CSV files can be edited with Google Sheets, Microsoft Excel, OpenOffice, LibreOffice, Notepad, and more.","CSV-bestanden kunnen worden bewerkt met Google Sheets, Microsoft Excel, OpenOffice, LibreOffice, Notepad, en meer."
coverage.csvHeaders.number,Number,Nummer
coverage.csvHeaders.name,Name,Naam
coverage.csvHeaders.type1,Type 1,Type 1
coverage.csvHeaders.type2,Type 2,Type 2
coverage.csvHeaders.type3,Type 3,Type 3
coverage.export.button,Export,Exporteren
coverage.export.description,Export the default Pokédex to a CSV file,Exporteer de normale Pokédex naar een CSV-bestand.
coverage.import.button,Import,Importeren
coverage.import.description,Import an edited Pokédex CSV file,Importeer een bewerkt Pokédex CSV-Bestand.
coverage.reset.button,Reset,Reset
coverage.reset.description,Reset to the default Pokédex,Reset naar de normale Pokédex
coverage.filename,pkmn.help type coverage.csv,pkmn.help type overschaduwing.csv
coverage.status.imported,Imported {{ n }} Pokémon forms from “{{ file }}”,{{ n }} Pokémon vormen geïmporteerd vanaf “{{ file }}”
coverage.status.exported,Exported default Pokémon forms,Geëxporteerde standaard Pokémonvormen
coverage.status.reset,Loaded default Pokémon forms,Geladen standaard Pokémonvormen
coverage.status.errored,Error loading CSV. Don't change header names.,Error met het laden van CSV. Verander kopnamen niet.
coverage.back,Back to offense,Terug naar offensief
defense.chooseFirst,Choose first type,Kies eerste type
defense.chooseSecond,Choose second type,Kies tweede type
defense.chooseThird,Choose third type,Kies derde type
defense.takesXFrom,Takes {{ x }} from,Krijgt {{ x }} van
defense.chooseAbility,Choose ability,Kies vaardigheid
defense.chooseTeraType,Choose tera type,Kies tera type
defense.abilityNames.none,None,Geen
defense.abilityNames.tinted_lens,Tinted Lens,
defense.abilityNames.scrappy,Scrappy,
defense.abilityNames.tera_shell,Tera Shell,Tera Shell
defense.abilityNames.filter,Filter,Filter
defense.abilityNames.wonder_guard,Wonder Guard,Wonder Guard
defense.abilityNames.delta_stream,Delta Stream,Delta Stream
defense.abilityNames.fluffy,Fluffy,Fluffy
defense.abilityNames.purifying_salt,Purifying Salt,Purifying Salt
defense.abilityNames.heatproof,Heatproof,Heatproof
defense.abilityNames.water_bubble,Water Bubble,Water Bubble
defense.abilityNames.thick_fat,Thick Fat,Thick Fat
defense.abilityNames.earth_eater,Earth Eater,Earth Eater
defense.abilityNames.levitate,Levitate,Levitate
defense.abilityNames.flash_fire,Flash Fire,Flash Fire
defense.abilityNames.well_baked_body,Well-Baked Body,Well-Baked Body
defense.abilityNames.dry_skin,Dry Skin,Dry Skin
defense.abilityNames.storm_drain,Storm Drain,Storm Drain
defense.abilityNames.water_absorb,Water Absorb,Water Absorb
defense.abilityNames.sap_sipper,Sap Sipper,Sap Sipper
defense.abilityNames.lightning_rod,Lightning Rod,Lightning Rod
defense.abilityNames.motor_drive,Motor Drive,Motor Drive
defense.abilityNames.volt_absorb,Volt Absorb,Volt Absorb
defense.mode.heading,Choose mode,Kies modus
defense.mode.solo,Solo,Solo
defense.mode.team,Team,Team
defense.team.tableHeading,Matchup counts,Wedstrijdtelling
defense.team.heading,Edit Pokémon team,Bewerk Pokémon team
defense.team.add,Add Pokémon,Voeg Pokémon toe
defense.team.empty,No Pokémon selected,Geen Pokémon geselecteerd
defense.team.displayType,Table format,Tabelformaat
