Key,en,pl
title,Pokémon Type Calculator,Kalkulator typów Pokémonów
navigation.offense,Offense,Ofensywa
navigation.defense,Defense,Defensywa
navigation.pokedex,Pokédex,Pokédex
navigation.other,Other,
navigation.settings,Settings,
navigation.about,About,
navigation.menu,Menu,
navigation.close,Close,
offense.chooseTypes,Choose attack move types,Wybierz typy
offense.dealsXTo,Deals {{ x }} damage to,Zadaje {{ x }} do
offense.mode.combination,Dual,
offense.mode.single,Single,
offense.matchups.summary.heading,Matchup summary,
offense.matchups.summary.damage,Damage,
offense.matchups.summary.combinations.heading,Combinations,
offense.matchups.summary.combinations.empty,No types,
offense.matchups.types.heading,Matchup types,
offense.abilities.choose,Choose abilities,Wybierz abilitki
offense.specialMoves.choose,Choose special moves,Wybierz specjalne ruchy
offense.specialMoves.names.freeze-dry,Freeze-Dry,Freeze-Dry
offense.specialMoves.names.thousand_arrows,Thousand Arrows,Thousand Arrows
offense.specialMoves.names.flying_press,Flying Press,Flying Press
offense.coverage.heading,Pokédex coverage,Pokrycie Pokédexa
offense.coverage.edit,Edit list,Edytuj listę
offense.coverage.weakness,Weak,Słaby
offense.coverage.normal,Neutral,Neutralny
offense.coverage.resistance,Resist,Odporny
offense.teraPokemon,Tera Pokémon,Tera Pokémon
offense.coverageList.empty,No Pokémon found or no types selected,Nie znaleziono Pokémona lub nie wybrano żadnego typu
offense.coverageList.weakness.heading,Weakness coverage list,Lista pokrycia słabości
offense.coverageList.normal.heading,Neutral effectiveness coverage list,Lista Pokrycia Normalnej Skuteczności
offense.coverageList.resistance.heading,Resistance coverage list,Lista Pokrycia Odporności
coverage.heading,Pokédex coverage,Pokrycie Pokédexa
coverage.paragraph1,"Import/export custom Pokédex CSV files to see coverage for different Pokémon. Create a custom CSV file with just the OU tier Pokémon, or even create your own Pokémon from scratch.","Importuj/eksportuj niestandardowe pliki Pokédex CSV, aby zobaczyć pokrycie dla różnych Pokémonów. Utwórz niestandardowy plik CSV tylko z Pokémonem poziomu OU, a nawet stwórz własnego Pokémona od podstaw."
coverage.paragraph2,"CSV data is loaded by column header name, not column order, so you can add or re-order columns if you want (e.g. add a “tier” column, or a “notes” column).","Dane CSV są ładowane według nazwy nagłówka kolumny, a nie kolejności kolumn, więc możesz dodawać kolumny lub zmieniać ich kolejność, jeśli chcesz (np. dodaj kolumnę „poziom” lub „uwagi”)."
coverage.paragraph3,"CSV files can be edited with Google Sheets, Microsoft Excel, OpenOffice, LibreOffice, Notepad, and more.","Pliki CSV można edytować za pomocą Arkuszy Google, Microsoft Excel, OpenOffice, LibreOffice, Notatnika i innych."
coverage.csvHeaders.number,Number,Numer
coverage.csvHeaders.name,Name,Nazwa
coverage.csvHeaders.type1,Type 1,1-szy Typ
coverage.csvHeaders.type2,Type 2,2-gi Typ
coverage.csvHeaders.type3,Type 3,3-ci Typ
coverage.export.button,Export,Eksportuj
coverage.export.description,Export the default Pokédex to a CSV file,Wyeksportuj domyślny Pokédex do pliku CSV
coverage.import.button,Import,Importuj
coverage.import.description,Import an edited Pokédex CSV file,Zaimportuj edytowany plik Pokédex CSV
coverage.reset.button,Reset,Zresetuj
coverage.reset.description,Reset to the default Pokédex,Zresetuj do domyślnego Pokédexu
coverage.filename,pkmn.help type coverage.csv,pkmn.help type coverage.csv
coverage.status.imported,Imported {{ n }} Pokémon forms from “{{ file }}”,Zaimportowano {{ n }} formularzy Pokémonów z „{{ file }}”
coverage.status.exported,Exported default Pokémon forms,Wyeksportowano domyślne formy Pokémonów
coverage.status.reset,Loaded default Pokémon forms,Załadowano domyślne formy Pokémonów
coverage.status.errored,Error loading CSV. Don't change header names.,Błąd ładowania pliku CSV. Nie zmieniaj nazw nagłówków.
coverage.back,Back to offense,Wróć do ofensywy
defense.chooseTypes,Choose defending Pokémon types,Wybierz typy
defense.takesXFrom,Takes {{ x }} from,Dostaje {{ x }} od
defense.chooseAbility,Choose ability,Wybierz abilitkę
defense.chooseTeraType,Choose tera type,Wybierz typ terastalizacji
defense.abilityNames.none,None,Brak
defense.abilityNames.tinted_lens,Tinted Lens,Tinted Lens
defense.abilityNames.scrappy,Scrappy,Scrappy
defense.abilityNames.tera_shell,Tera Shell,Tera Shell
defense.abilityNames.filter,Filter,Filter
defense.abilityNames.wonder_guard,Wonder Guard,Wonder Guard
defense.abilityNames.delta_stream,Delta Stream,Delta Stream
defense.abilityNames.fluffy,Fluffy,Fluffy
defense.abilityNames.purifying_salt,Purifying Salt,Purifying Salt
defense.abilityNames.heatproof,Heatproof,Heatproof
defense.abilityNames.water_bubble,Water Bubble,Water Bubble
defense.abilityNames.thick_fat,Thick Fat,Thick Fat
defense.abilityNames.earth_eater,Earth Eater,Earth Eater
defense.abilityNames.levitate,Levitate,Levitate
defense.abilityNames.flash_fire,Flash Fire,Flash Fire
defense.abilityNames.well_baked_body,Well-Baked Body,Well-Baked Body
defense.abilityNames.dry_skin,Dry Skin,Dry Skin
defense.abilityNames.storm_drain,Storm Drain,Storm Drain
defense.abilityNames.water_absorb,Water Absorb,Water Absorb
defense.abilityNames.sap_sipper,Sap Sipper,Sap Sipper
defense.abilityNames.lightning_rod,Lightning Rod,Lightning Rod
defense.abilityNames.motor_drive,Motor Drive,Motor Drive
defense.abilityNames.volt_absorb,Volt Absorb,Volt Absorb
defense.mode.solo,Solo,Solo
defense.mode.team,Team,Drużyna
defense.team.tableHeading,Matchup counts,Liczba kombinacji
defense.team.heading,Edit Pokémon team,Edytuj drużynę Pokémon
defense.team.add,Add Pokémon,Dodaj Pokémona
defense.team.empty,No Pokémon selected,Nie wybrano Pokémona
defense.team.displayType,Table format,Format Tabeli
defense.team.weak,Weak,Słaby na
defense.team.resist,Resist,Odporny na
defense.team.simple,Simple,Prosty
defense.team.complex,Complex,Zaawansowany
defense.team.type,Type,Typ
defense.team.edit,Edit,Edytuj
defense.team.remove,Remove,Usuń
pokedex.search.description,"Search by name, number, or types","Szukaj według nazwy, numeru lub typu"
pokedex.search.help,Help,Pomoc
pokedex.search.helpLong,"Help, search Pokédex","Pomoc, wyszukaj Pokédex"
pokedex.search.notFound,No Pokémon found,Nie znaleziono Pokémona
pokedex.offense.text,Offense,Ofensywa
pokedex.defense.text,Defense,Defensywa
pokedex.cry.text,Cry,Głos
pokedex.shiny.text,Shiny,Shiny
