Key,en,pt-BR
title,Pokémon Type Calculator,Calculadora de Tipos Pokémon
navigation.offense,Offense,Ataque
navigation.defense,Defense,Defesa
navigation.pokedex,Pokédex,Pokédex
navigation.more,More,Mais
offense.chooseTypes,Choose attack move types,Escolher tipos
offense.dealsXTo,{{ x }} damage,Causa {{ x }} mais dano contra
offense.mode.combination,Combination,
offense.mode.single,Single,
offense.matchups.summary.heading,Matchup summary,
offense.matchups.summary.damage,Damage,
offense.matchups.summary.combinations.heading,Combinations,
offense.matchups.summary.combinations.empty,No types,
offense.matchups.types.heading,Matchup types,
offense.abilities.choose,Choose abilities,Escolher habilidades
offense.specialMoves.choose,Choose special moves,Escolher movimentos especiais
offense.specialMoves.names.freeze-dry,Freeze-Dry,Freeze-Dry
offense.specialMoves.names.thousand_arrows,Thousand Arrows,Thousand Arrows
offense.specialMoves.names.flying_press,Flying Press,Aperto Voador
offense.coverage.heading,Pokédex coverage,Cobertura da Pokédex
offense.coverage.edit,Edit list,Editar lista
offense.coverage.weakness,Weak,Fraquezas
offense.coverage.normal,Neutral,Normal
offense.coverage.resistance,Resist,Resistências
offense.teraPokemon,Tera Pokémon,Pokémon Tera
offense.coverageList.empty,No Pokémon found or no types selected,Não foram encontrados Pokémon ou nenhum tipo foi selecionado
offense.coverageList.weakness.heading,Weakness coverage list,Lista de cobertura de fraquezas
offense.coverageList.normal.heading,Neutral effectiveness coverage list,Lista de cobertura de eficiência normal
offense.coverageList.resistance.heading,Resistance coverage list,Lista de cobertura de resistências
coverage.heading,Pokédex coverage,Cobertura a fraquezas
coverage.paragraph1,"Import/export custom Pokédex CSV files to see coverage for different Pokémon. Create a custom CSV file with just the OU tier Pokémon, or even create your own Pokémon from scratch.",Importar/exportar arquivos CSV costumizados da Pokédex para ver cobertura de tipos para diferentes Pokémon. Crie um arquivo CSV customizado com só Pokémon de categoria OU ou até criar seu próprio Pokémon do zero!
coverage.paragraph2,"CSV data is loaded by column header name, not column order, so you can add or re-order columns if you want (e.g. add a “tier” column, or a “notes” column).","Informações CSV são carregadas pelo nome do cabeçalho da coluna, então você pode adicionar ou reordenar colunas se quiser (por exemplo adicionar uma coluna ""categoria"" ou coluna ""notas"")."
coverage.paragraph3,"CSV files can be edited with Google Sheets, Microsoft Excel, OpenOffice, LibreOffice, Notepad, and more.","Arquivos CSV podem ser editados com Google Sheets, Microsoft Excel, OpenOffice, LibreOffice, Notepad e mais."
coverage.csvHeaders.number,Number,Número
coverage.csvHeaders.name,Name,Nome
coverage.csvHeaders.type1,Type 1,1° Tipo
coverage.csvHeaders.type2,Type 2,2° Tipo
coverage.csvHeaders.type3,Type 3,3° Tipo
coverage.export.button,Export,Exportar
coverage.export.description,Export the default Pokédex to a CSV file,Exportar Pokédex padrão para um arquivo CSV
coverage.import.button,Import,Importar
coverage.import.description,Import an edited Pokédex CSV file,Importar Pokédex editada para arquivo CSV
coverage.reset.button,Reset,Atualizar
coverage.reset.description,Reset to the default Pokédex,Voltar a Pokédex padrão
coverage.filename,pkmn.help type coverage.csv,pkmn.help type coverage.csv
coverage.status.imported,Imported {{ n }} Pokémon forms from “{{ file }}”,Formas Pokémon importadas {{ n }} para “{{ file }}”
coverage.status.exported,Exported default Pokémon forms,Formas Pokémon padrão exportadas
coverage.status.reset,Loaded default Pokémon forms,Formas Pokémon padrão carregadas
coverage.status.errored,Error loading CSV. Don't change header names.,Erro carregando CSV. Não mude o nome nos cabeçalhos.
coverage.back,Back to offense,"Voltar a ""Ataque"""
defense.chooseTypes,Choose defending Pokémon types,Escolher tipos
defense.takesXFrom,Takes {{ x }} from these move types,Leva {{ x }} mais dano de
defense.chooseAbility,Choose ability,Escolher habilidade
defense.chooseTeraType,Choose tera type,Escolher tipo tera
defense.abilityNames.none,None,Nenhuma
defense.abilityNames.tinted_lens,Tinted Lens,Tinted Lens
defense.abilityNames.scrappy,Scrappy,Scrappy
defense.abilityNames.tera_shell,Tera Shell,Tera Shell
defense.abilityNames.filter,Filter,Filtro
defense.abilityNames.wonder_guard,Wonder Guard,Wonder Guard
defense.abilityNames.delta_stream,Delta Stream,Delta Stream
defense.abilityNames.fluffy,Fluffy,Fluffy
defense.abilityNames.purifying_salt,Purifying Salt,Purifying Salt
defense.abilityNames.heatproof,Heatproof,Heatproof
defense.abilityNames.water_bubble,Water Bubble,Water Bubble
defense.abilityNames.thick_fat,Thick Fat,Thick Fat
defense.abilityNames.earth_eater,Earth Eater,Earth Eater
defense.abilityNames.levitate,Levitate,Levitate
defense.abilityNames.flash_fire,Flash Fire,Flash Fire
defense.abilityNames.well_baked_body,Well-Baked Body,Well-Baked Body
defense.abilityNames.dry_skin,Dry Skin,Dry Skin
defense.abilityNames.storm_drain,Storm Drain,Storm Drain
defense.abilityNames.water_absorb,Water Absorb,Water Absorb
defense.abilityNames.sap_sipper,Sap Sipper,Sap Sipper
defense.abilityNames.lightning_rod,Lightning Rod,Lightning Rod
defense.abilityNames.motor_drive,Motor Drive,Motor Drive
defense.abilityNames.volt_absorb,Volt Absorb,Volt Absorb
defense.mode.solo,Solo,Solo
defense.mode.team,Team,Time
defense.team.tableHeading,Matchup counts,Contagem de combinações
defense.team.heading,Edit Pokémon team,Editar time Pokémon
defense.team.add,Add Pokémon,Adicionar Pokémon
defense.team.empty,No Pokémon selected,Nenhum Pokémon selecionado
defense.team.displayType,Table format,Formato da tabela
defense.team.weak,Weak,Fraqueza
defense.team.resist,Resist,Resistência
defense.team.simple,Simple,Simples
defense.team.complex,Complex,Complexo
defense.team.type,Type,Tipo
defense.team.edit,Edit,Editar
defense.team.remove,Remove,Remover
