Key,en,pt-PT
title,Pokémon Type Calculator,Calculadora de Tipos de Pokémon
navigation.offense,Offense,Ataque
navigation.defense,Defense,Defesa
navigation.pokedex,Pokédex,Pokédex
navigation.more,More,Mais
offense.chooseTypes,Choose types,Escolher tipos
offense.dealsXTo,Deals {{ x }} to,Causa {{ x }} de dano a
offense.abilities.choose,Choose abilities,Escolher habilidades
offense.specialMoves.choose,Choose special moves,Escolher movimentos especiais
offense.specialMoves.names.freeze-dry,Freeze-Dry,Secagem Congelante
offense.specialMoves.names.thousand_arrows,Thousand Arrows,Mil Flechas
offense.specialMoves.names.flying_press,Flying Press,Prensa Voadora
offense.coverage.heading,Pokédex coverage,Cobertura da Pokédex
offense.coverage.edit,Edit list,Editar lista
offense.coverage.weakness,Weak,Fraco
offense.coverage.normal,Normal,Normal
offense.coverage.resistance,Resist,Resistente
offense.teraPokemon,Tera Pokémon,Pokémon Tera
offense.coverageList.empty,No Pokémon found or no types selected,Nenhum Pokémon encontrado ou nenhum tipo selecionado
offense.coverageList.weakness.heading,Weakness coverage list,Lista de cobertura de fraquezas
offense.coverageList.normal.heading,Normal effectiveness coverage list,Lista de cobertura de eficácia normal
offense.coverageList.resistance.heading,Resistance coverage list,Lista de cobertura de resistências
coverage.heading,Pokédex coverage,Cobertura da Pokédex
coverage.paragraph1,"Import/export custom Pokédex CSV files to see coverage for different Pokémon. Create a custom CSV file with just the OU tier Pokémon, or even create your own Pokémon from scratch.",Importar/exportar ficheiros CSV da Pokédex personalizados para ver a cobertura de diferentes Pokémons. Crie um ficheiro CSV personalizado apenas com os Pokémons da categoria OU ou cria os teus próprios Pokémons de raiz.
coverage.paragraph2,"CSV data is loaded by column header name, not column order, so you can add or re-order columns if you want (e.g. add a “tier” column, or a “notes” column).","Os dados CSV são carregados por nome de cabeçalho de coluna e não por ordem de coluna, pelo que podes adicionar ou reordenar colunas se quiseres (por exemplo, adicionar uma coluna ""nível"" ou uma coluna ""notas"")."
coverage.paragraph3,"CSV files can be edited with Google Sheets, Microsoft Excel, OpenOffice, LibreOffice, Notepad, and more.","Os ficheiros CSV podem ser editados com o Google Sheets, o Microsoft Excel, o OpenOffice, o LibreOffice, o Notepad e muito mais."
coverage.csvHeaders.number,Number,Número
coverage.csvHeaders.name,Name,Nome
coverage.csvHeaders.type1,Type 1,Tipo 1
coverage.csvHeaders.type2,Type 2,Tipo 2
coverage.csvHeaders.type3,Type 3,Tipo 3
coverage.export.button,Export,Exportar
coverage.export.description,Export the default Pokédex to a CSV file,Exportar a Pokédex predefinida para um ficheiro CSV
coverage.import.button,Import,Importar
coverage.import.description,Import an edited Pokédex CSV file,Importar um ficheiro CSV da Pokédex editada
coverage.reset.button,Reset,Reiniciar
coverage.reset.description,Reset to the default Pokédex,Repor a Pokédex predefinida
coverage.filename,pkmn.help type coverage.csv,pkmn.help tipo cobertura.csv
coverage.status.imported,Imported {{ n }} Pokémon forms from “{{ file }}”,"Importadas {{ n }} formas de Pokémon de “{{ file }}"""
coverage.status.exported,Exported default Pokémon forms,Formas de Pokémon predefinidas exportadas
coverage.status.reset,Loaded default Pokémon forms,Formas de Pokémon predefinidas carregadas
coverage.status.errored,Error loading CSV. Don't change header names.,Erro ao carregar CSV. Não alterar os nomes dos cabeçalhos.
coverage.back,Back to offense,Voltar ao ataque
defense.chooseFirst,Choose first type,Selecionar o primeiro tipo
defense.chooseSecond,Choose second type,Selecionar o segundo tipo
defense.chooseThird,Choose third type,Selecionar o terceiro tipo
defense.takesXFrom,Takes {{ x }} from,Recebe {{ x }} de
defense.chooseAbility,Choose ability,Escolher habilidade
defense.chooseTeraType,Choose tera type,Selecionar o tipo de tera
defense.abilityNames.none,None,Nenhum
defense.abilityNames.tinted_lens,Tinted Lens,Lente Colorida
defense.abilityNames.scrappy,Scrappy,Audacioso
defense.abilityNames.tera_shell,Tera Shell,Casco Tera
defense.abilityNames.filter,Filter,Filtro
defense.abilityNames.wonder_guard,Wonder Guard,Proteção Maravilhosa
defense.abilityNames.delta_stream,Delta Stream,Corrente Delta
defense.abilityNames.fluffy,Fluffy,Lanoso
defense.abilityNames.purifying_salt,Purifying Salt,Sal Purificador
defense.abilityNames.heatproof,Heatproof,À Prova de Fogo
defense.abilityNames.water_bubble,Water Bubble,Bolha de Água
defense.abilityNames.thick_fat,Thick Fat,Gordura Espessa
defense.abilityNames.earth_eater,Earth Eater,Devorador de Terra
defense.abilityNames.levitate,Levitate,Levitação
defense.abilityNames.flash_fire,Flash Fire,Corpo Ardente
defense.abilityNames.well_baked_body,Well-Baked Body,Corpo Bem Assado
defense.abilityNames.dry_skin,Dry Skin,Pele Seca
defense.abilityNames.storm_drain,Storm Drain,Atração de Tormentas
defense.abilityNames.water_absorb,Water Absorb,Absorção de Água
defense.abilityNames.sap_sipper,Sap Sipper,Absorve-Erva
defense.abilityNames.lightning_rod,Lightning Rod,Para-Raios
defense.abilityNames.motor_drive,Motor Drive,Motor Drive: Propulsão
defense.abilityNames.volt_absorb,Volt Absorb,Absorve Eletricidade
defense.mode.heading,Choose mode,Escolher modo
defense.mode.solo,Solo,Solo
defense.mode.team,Team,Equipa
defense.team.tableHeading,Matchup counts,Contagem dos confrontos
defense.team.heading,Edit Pokémon team,Editar equipa de Pokémons
defense.team.add,Add Pokémon,Adicionar Pokémon
defense.team.empty,No Pokémon selected,Nenhum Pokémon selecionado
defense.team.displayType,Table format,Formato da tabela
defense.team.weak,Weak,Fraco
defense.team.resist,Resist,Resistente
defense.team.simple,Simple,Simples
defense.team.complex,Complex,Complexo
defense.team.type,Type,Tipo
defense.team.edit,Edit,Editar
defense.team.remove,Remove,Remover
pokedex.search.description,"Search by name, number, or types","Pesquisar por nome, número ou tipos"
pokedex.search.help,Help,Ajuda
pokedex.search.helpLong,"Help, search Pokédex","Ajuda, procurar na Pokédex"
pokedex.search.notFound,No Pokémon found,Nenhum Pokémon encontrado
pokedex.offense.text,Offense,Ataque
pokedex.defense.text,Defense,Defesa
pokedex.cry.text,Cry,Chorar
pokedex.shiny.text,Shiny,Brilhante
pokedex.pagination.next,Next,Seguinte
pokedex.pagination.nextLong,Next,Seguinte
pokedex.pagination.previous,Prev,Anterior
pokedex.pagination.previousLong,Previous,Anterior
pokedex.pagination.firstLong,First,Primeiro
pokedex.pagination.lastLong,Last,Último
pokedex.stats.hp,HP,HP
pokedex.stats.hpLong,Hit Points,Pontos de Vida
pokedex.stats.attack,Attack,Ataque
pokedex.stats.attackLong,Attack,Ataque
pokedex.stats.defense,Defense,Defesa
pokedex.stats.defenseLong,Defense,Defesa
pokedex.stats.specialAttack,Sp. Atk.,Atk. Esp.
pokedex.stats.specialAttackLong,Special Attack,Ataque Especial
pokedex.stats.specialDefense,Sp. Def.,Def. Esp.
pokedex.stats.specialDefenseLong,Special Defense,Defesa Especial
pokedex.stats.speed,Speed,Velocidade
pokedex.stats.speedLong,Speed,Velocidade
pokedex.stats.total,Total,Total
pokedex.stats.totalLong,Total,Total
pokedexHelp.searchByName.heading,Search by name,Procurar por nome
pokedexHelp.searchByName.description,"You can search for a Pokémon by name. If you only remember part of the Pokémon's name, It can still probably find it for you. It can't deal with typos right now though.","Podes procurar um Pokémon pelo nome. Se só te lembrares de parte do nome do Pokémon, é provável que o consigas encontrar na mesma. No entanto, a pesquisa não consegue lidar com erros de escrita de momento."
pokedexHelp.searchByNumber.heading,Search by number,Procurar por número
pokedexHelp.searchByNumber.description,"Search by national dex number. If you want Bulbasaur, just type 1, not #001.","Pesquisa por número da dex nacional. Se quiseres Bulbasaur, basta digitar 1 e não #001."
pokedexHelp.searchByType.heading,Search by type,Pesquisar por tipo
pokedexHelp.searchByType.description,Here are a few examples of how to seach by type.,Eis alguns exemplos de como pesquisar por tipo.
pokedexHelp.searchExamples.type.query,fire,fogo
pokedexHelp.searchExamples.type.description,"Search for Pokémon that have a fire as either of their types in any form (e.g. Charmander, Charizard, Rotom).","Procurar Pokémons que tenham fogo como um dos seus tipos em qualquer forma (por exemplo, Charmander, Charizard, Rotom)."
pokedexHelp.searchExamples.doubleType.query,water flying,água voador
