Key,en,ro
title,Pokémon Type Calculator,Calculator tip Pokémon
navigation.offense,Offense,Atac
navigation.defense,Defense,Protectie
navigation.pokedex,Pokédex,Pokédex
navigation.more,More,Mai mult
offense.chooseTypes,Choose types,Alege tipuri
offense.dealsXTo,Deals {{ x }} to,Oferte {{ x }} spre
offense.abilities.choose,Choose abilities,
offense.specialMoves.choose,Choose special moves,
offense.specialMoves.names.freeze-dry,Freeze-Dry,
offense.specialMoves.names.thousand_arrows,Thousand Arrows,
offense.coverage.heading,Pokédex coverage,
offense.coverage.edit,Edit list,
offense.coverage.weakness,Weak,
offense.coverage.normal,Normal,
offense.coverage.resistance,Resist,
offense.teraPokemon,Tera Pokémon,
offense.coverageList.empty,No Pokémon found or no types selected,
offense.coverageList.weakness.heading,Weakness coverage list,
offense.coverageList.normal.heading,Normal effectiveness coverage list,
offense.coverageList.resistance.heading,Resistance coverage list,
coverage.heading,Pokédex coverage,Acoperire slabiciuni
coverage.paragraph1,"Import/export custom Pokédex CSV files to see coverage for different Pokémon. Create a custom CSV file with just the OU tier Pokémon, or even create your own Pokémon from scratch.","Importa/exporta fișiere personalizate Pokédex CSV sa vezi acoperirea de slabiciuni pentru diferiti Pokémon. Creaza un fișier CSV cu doar OU nlivelul Pokémon, sau creaza propriul Pokémon."
coverage.paragraph2,"CSV data is loaded by column header name, not column order, so you can add or re-order columns if you want (e.g. add a “tier” column, or a “notes” column).","Date de CSV e încarcat de numele de numele de colum, nu ordinea de colum, deci poti sa adaugi sau reordonezi columurile daca vrei (de exemplu: alege un colum de nivel sau de note"
coverage.paragraph3,"CSV files can be edited with Google Sheets, Microsoft Excel, OpenOffice, LibreOffice, Notepad, and more.","Fișierele CSV pot fi editate cu Google Sheets, Microsoft Excel, OpenOffice, LibreOffice, Notepad și multe altele."
coverage.csvHeaders.number,Number,Numar
coverage.csvHeaders.name,Name,Nume
coverage.csvHeaders.type1,Type 1,Tip 1
coverage.csvHeaders.type2,Type 2,Tip 2
coverage.csvHeaders.type3,Type 3,Tip 3
coverage.export.button,Export,Exporteaza
coverage.export.description,Export the default Pokédex to a CSV file,Exporteaza Pokémonul implicit spre un fișier CSV
coverage.import.button,Import,Importa
coverage.import.description,Import an edited Pokédex CSV file,Importa un fișier CSV editat de Pokedex
coverage.reset.button,Reset,Reseteaza
coverage.reset.description,Reset to the default Pokédex,Reseteaze Pokedexul la mod implicit
coverage.filename,pkmn.help type coverage.csv,pkmn.help tip coverage.csv
coverage.status.imported,Imported {{ n }} Pokémon forms from “{{ file }}”,Importat {{ n }} forme de Pokémon de la „{{ file }}”
coverage.status.exported,Exported default Pokémon forms,Exporteaza forme de Pokémon implicit
coverage.status.reset,Loaded default Pokémon forms,Incarca forme de Pokémon implicit
coverage.status.errored,Error loading CSV. Don't change header names.,Eroare la încărcarea CSV. Nu schimbați numele antetului.
coverage.back,Back to offense,Înapoi la atac
defense.chooseFirst,Choose first type,Alege primul fel
defense.chooseSecond,Choose second type,Alege al doilea fel
defense.chooseThird,Choose third type,Alege al treilea fel
defense.takesXFrom,Takes {{ x }} from,Ia {{ x }} de la
defense.chooseAbility,Choose ability,
defense.chooseTeraType,Choose tera type,
defense.abilityNames.none,None,
defense.abilityNames.tinted_lens,Tinted Lens,
defense.abilityNames.scrappy,Scrappy,
defense.abilityNames.tera_shell,Tera Shell,Tera Shell
defense.abilityNames.filter,Filter,Filter
defense.abilityNames.wonder_guard,Wonder Guard,Wonder Guard
defense.abilityNames.delta_stream,Delta Stream,Delta Stream
defense.abilityNames.fluffy,Fluffy,Fluffy
defense.abilityNames.purifying_salt,Purifying Salt,Purifying Salt
defense.abilityNames.heatproof,Heatproof,Heatproof
defense.abilityNames.water_bubble,Water Bubble,Water Bubble
defense.abilityNames.thick_fat,Thick Fat,Thick Fat
defense.abilityNames.earth_eater,Earth Eater,Earth Eater
defense.abilityNames.levitate,Levitate,Levitate
defense.abilityNames.flash_fire,Flash Fire,Flash Fire
defense.abilityNames.well_baked_body,Well-Baked Body,Well-Baked Body
defense.abilityNames.dry_skin,Dry Skin,Dry Skin
defense.abilityNames.storm_drain,Storm Drain,Storm Drain
defense.abilityNames.water_absorb,Water Absorb,Water Absorb
defense.abilityNames.sap_sipper,Sap Sipper,Sap Sipper
defense.abilityNames.lightning_rod,Lightning Rod,Lightning Rod
defense.abilityNames.motor_drive,Motor Drive,Motor Drive
defense.abilityNames.volt_absorb,Volt Absorb,Volt Absorb
defense.mode.heading,Choose mode,
defense.mode.solo,Solo,
defense.mode.team,Team,
defense.team.tableHeading,Matchup counts,
defense.team.heading,Edit Pokémon team,
defense.team.add,Add Pokémon,
defense.team.empty,No Pokémon selected,
defense.team.displayType,Table format,
defense.team.weak,Weak,
defense.team.resist,Resist,
defense.team.simple,Simple,
defense.team.complex,Complex,
defense.team.type,Type,
defense.team.edit,Edit,
defense.team.remove,Remove,
pokedex.search.description,"Search by name, number, or types","Cauta nume, numar sau feluri"
pokedex.search.help,Help,Ajutor
pokedex.search.helpLong,"Help, search Pokédex","Ajutor, cauta în Pokedex"
pokedex.search.notFound,No Pokémon found,Nici un Pokémon gasit
pokedex.offense.text,Offense,Atac
pokedex.defense.text,Defense,Aparare
pokedex.cry.text,Cry,
pokedex.shiny.text,Shiny,
pokedex.pagination.next,Next,Urmatoarea
pokedex.pagination.nextLong,Next,Urmatoarea
pokedex.pagination.previous,Prev,Anter
pokedex.pagination.previousLong,Previous,Anterior
pokedex.pagination.firstLong,First,Primul
pokedex.pagination.lastLong,Last,Ultimul
pokedex.stats.hp,HP,HP
pokedex.stats.hpLong,Hit Points,Puncte hit
pokedex.stats.attack,Attack,Atac
pokedex.stats.attackLong,Attack,Atac
pokedex.stats.defense,Defense,Protectie
pokedex.stats.defenseLong,Defense,Protectie
