Key,en,ru
title,Pokémon Type Calculator,Калькулятор Типов Покемонов
navigation.offense,Offense,Нападение
navigation.defense,Defense,Оборона
navigation.pokedex,Pokédex,Покедекс
navigation.more,More,Больше
offense.chooseTypes,Choose types,Выберите Типы
offense.dealsXTo,Deals {{ x }} to,Наносит {{ x }}
offense.abilities.choose,Choose abilities,
offense.specialMoves.choose,Choose special moves,
offense.specialMoves.names.freeze-dry,Freeze-Dry,
offense.specialMoves.names.thousand_arrows,Thousand Arrows,
offense.coverage.heading,Pokédex coverage,
offense.coverage.edit,Edit list,
offense.coverage.weakness,Weak,
offense.coverage.normal,Normal,
offense.coverage.resistance,Resist,
offense.teraPokemon,Tera Pokémon,
offense.coverageList.empty,No Pokémon found or no types selected,
offense.coverageList.weakness.heading,Weakness coverage list,
offense.coverageList.normal.heading,Normal effectiveness coverage list,
offense.coverageList.resistance.heading,Resistance coverage list,
coverage.heading,Pokédex coverage,Охват Слабостей
coverage.paragraph1,"Import/export custom Pokédex CSV files to see coverage for different Pokémon. Create a custom CSV file with just the OU tier Pokémon, or even create your own Pokémon from scratch.","Импортируйте/экспортируйте пользовательские CSV файлы Покедекса чтобы посмотреть охват слабостей для разных Покемонов. Создайте пользовательский CSV файл только с одним Покемоном уровня OU, или даже создайте своего Покемона с нуля."
coverage.paragraph2,"CSV data is loaded by column header name, not column order, so you can add or re-order columns if you want (e.g. add a “tier” column, or a “notes” column).","Данные CSV загружаются по имени заголовка столбца, а не по порядку столбцов, поэтому вы можете добавлять или изменять порядок столбцов если хотите (например, добавить столбец «уровень» или столбец «примечания»)."
coverage.paragraph3,"CSV files can be edited with Google Sheets, Microsoft Excel, OpenOffice, LibreOffice, Notepad, and more.","Файлы CVS могут быть редактированы с помощью Google Sheets, Microsoft Excel, OpenOffice, LibreOffice, Notepad и других программ."
coverage.csvHeaders.number,Number,Номер
coverage.csvHeaders.name,Name,Имя
coverage.csvHeaders.type1,Type 1,Тип 1
coverage.csvHeaders.type2,Type 2,Тип 2
coverage.csvHeaders.type3,Type 3,Тип 3
coverage.export.button,Export,Экспортировать
coverage.export.description,Export the default Pokédex to a CSV file,Экспортировать Покедекс по умолчанию к CSV файлу.
coverage.import.button,Import,Импортировать
coverage.import.description,Import an edited Pokédex CSV file,Импортировать редактированный CSV файл Покедекса
coverage.reset.button,Reset,Сбросить
coverage.reset.description,Reset to the default Pokédex,Сбросить до Покедекса по умолчанию
coverage.filename,pkmn.help type coverage.csv,pkmn.help охват типов.csv
coverage.status.imported,Imported {{ n }} Pokémon forms from “{{ file }}”,Импортировано {{ n }} форм Покемонов из “{{ file }}”
coverage.status.exported,Exported default Pokémon forms,Экспортированы формы Покемонов по умолчанию
coverage.status.reset,Loaded default Pokémon forms,Загружены формы Покемонов по умолчанию
coverage.status.errored,Error loading CSV. Don't change header names.,Ошибка загрузки CSV. Не изменяйте имени заголовок.
coverage.back,Back to offense,Назад к Нападению
defense.chooseFirst,Choose first type,Выберите Первый Тип
defense.chooseSecond,Choose second type,Выберите Второй Тип
defense.chooseThird,Choose third type,Выберите Третий Тип
defense.takesXFrom,Takes {{ x }} from,Принимает {{ x }} от
defense.chooseAbility,Choose ability,
defense.chooseTeraType,Choose tera type,
defense.abilityNames.none,None,
defense.abilityNames.tinted_lens,Tinted Lens,
defense.abilityNames.scrappy,Scrappy,
defense.abilityNames.tera_shell,Tera Shell,Tera Shell
defense.abilityNames.filter,Filter,Filter
defense.abilityNames.wonder_guard,Wonder Guard,Wonder Guard
defense.abilityNames.delta_stream,Delta Stream,Delta Stream
defense.abilityNames.fluffy,Fluffy,Fluffy
defense.abilityNames.purifying_salt,Purifying Salt,Purifying Salt
defense.abilityNames.heatproof,Heatproof,Heatproof
