Key,en,vi
title,Pokémon Type Calculator,Máy Tính Toán Hệ trong Pokémon
navigation.offense,Offense,Tấn Công
navigation.defense,Defense,Phòng Thủ
navigation.pokedex,Pokédex,Pokédex
navigation.more,More,Thêm
offense.chooseTypes,Choose attack move types,Chọn hệ
offense.dealsXTo,{{ x }} damage,Gây {{ x }} sát thương đến
offense.mode.combination,Combination,
offense.mode.single,Single,
offense.matchups.summary.heading,Matchup summary,
offense.matchups.summary.damage,Damage,
offense.matchups.summary.combinations.heading,Combinations,
offense.matchups.summary.combinations.empty,No types,
offense.matchups.types.heading,Matchup types,
offense.abilities.choose,Choose abilities,Chọn đặc tính
offense.specialMoves.choose,Choose special moves,Chọn tuyệt kỹ đặc biệt
offense.specialMoves.names.freeze-dry,Freeze-Dry,Đông Khô (Freeze Dry)
offense.specialMoves.names.thousand_arrows,Thousand Arrows,Ngàn Mũi Tên (Thousand Arrows)
offense.specialMoves.names.flying_press,Flying Press,Ép Bay (Flying Press)
offense.coverage.heading,Pokédex coverage,Danh sách khả năng bao phủ của tất cả Pokémon trong Pokédex
offense.coverage.edit,Edit list,Sửa danh sách
offense.coverage.weakness,Weak,Các Pokémon yếu
offense.coverage.normal,Neutral,Các Pokémon không yếu hay kháng cự
offense.coverage.resistance,Resist,Các Pokémon kháng cự
offense.teraPokemon,Tera Pokémon,Tera Pokémon
offense.coverageList.empty,No Pokémon found or no types selected,Không có Pokémon nào hoặc không có hệ được chọn
offense.coverageList.weakness.heading,Weakness coverage list,Danh sách các Pokémon yếu
offense.coverageList.normal.heading,Neutral effectiveness coverage list,Danh sách các Pokémon không yếu hay kháng cự
offense.coverageList.resistance.heading,Resistance coverage list,Danh sách các Pokémon kháng cự
coverage.heading,Pokédex coverage,Danh sách khả năng bao phủ hệ của tất cả Pokémon trong Pokédex
coverage.paragraph1,"Import/export custom Pokédex CSV files to see coverage for different Pokémon. Create a custom CSV file with just the OU tier Pokémon, or even create your own Pokémon from scratch.",Nhập/xuất tệp CSV Pokédex tùy chỉnh để xem khả năng bao phủ hệ của các Pokémon khác nhau. Tạo tệp CSV tùy chỉnh chỉ với Pokémon cấp OU hoặc thậm chí tạo Pokémon của riêng bạn từ đầu.
