Key,en,zh-Hant
title,Pokémon Type Calculator,
navigation.offense,Offense,
navigation.defense,Defense,
navigation.pokedex,Pokédex,
navigation.more,More,
offense.chooseTypes,Choose types,
offense.dealsXTo,Deals {{ x }} to,
offense.coverage.heading,Pokédex coverage,
offense.coverage.edit,Edit list,
offense.coverage.weakness,Weak,
offense.coverage.normal,Normal,
offense.coverage.resistance,Resist,
offense.coverageList.empty,No Pokémon found or no types selected,
offense.coverageList.weakness.heading,Weakness Coverage List,
offense.coverageList.weakness.description,These Pokémon are weak to at least one of the selected types.,
offense.coverageList.normal.heading,Normal Effectiveness Coverage List,
offense.coverageList.normal.description,These Pokémon are not in the weakness or resistance lists for the selected types.,
offense.coverageList.resistance.heading,Resistance Coverage List,
offense.coverageList.resistance.description,These Pokémon are resistant to all of the selected types.,
coverage.heading,Pokédex Coverage,
coverage.paragraph1,"Import/export custom Pokédex CSV files to see coverage for different Pokémon. Create a custom CSV file with just the OU tier Pokémon, or even create your own Pokémon from scratch.",
coverage.paragraph2,"CSV data is loaded by column header name, not column order, so you can add or re-order columns if you want (e.g. add a “tier” column, or a “notes” column).",
coverage.paragraph3,"CSV files can be edited with Google Sheets, Microsoft Excel, OpenOffice, LibreOffice, Notepad, and more.",
coverage.csvHeaders.number,Number,
coverage.csvHeaders.name,Name,
coverage.csvHeaders.type1,Type 1,
coverage.csvHeaders.type2,Type 2,
coverage.csvHeaders.type3,Type 3,
coverage.export.button,Export,
coverage.export.description,Export the default Pokédex to a CSV file,
coverage.import.button,Import,
coverage.import.description,Import an edited Pokédex CSV file,
coverage.reset.button,Reset,
coverage.reset.description,Reset to the default Pokédex,
coverage.filename,pkmn.help type coverage.csv,
coverage.status.imported,Imported {{ n }} Pokémon forms from “{{ file }}”,
coverage.status.exported,Exported default Pokémon forms,
coverage.status.reset,Loaded default Pokémon forms,
coverage.status.errored,Error loading CSV. Don't change header names.,
coverage.back,Back to offense,
defense.chooseFirst,Choose first type,
defense.chooseSecond,Choose second type,
defense.chooseThird,Choose third type,
defense.takesXFrom,Takes {{ x }} from,
defense.chooseAbility,Choose ability,
defense.abilityNames.none,None,
defense.mode.heading,Choose mode,
defense.mode.solo,Solo,
defense.mode.team,Team,
defense.team.tableHeading,Matchup counts,
defense.team.heading,Edit Pokémon team,
defense.team.add,Add Pokémon,
defense.team.empty,No Pokémon selected,
defense.team.displayType,Table format,
